,STAID,STANAME,LAT_GAGE,LNG_GAGE,CLASS
253,11120520,SAN PEDRO C A GOLETA CA,34.44861,-119.84028,Non-ref
254,11120550,GAVIOTA C NR GAVIOTA CA,34.487766,-120.227095,Non-ref
255,11123000,SANTA YNEZ R BL GIBRALTAR DAM NR SNTA BRB C CA,34.524439,-119.687358,Non-ref
256,11123500,SANTA YNEZ R BL LOS LAURLS CYN NR SNTA YNEZ CA,34.543604,-119.864863,Non-ref
257,11124500,SANTA CRUZ C NR SANTA YNEZ CA,34.596656,-119.908752,Ref
258,11125600,HILTON CYN C NR SANTA YNEZ CA,34.58221,-119.98264,Non-ref
259,11126000,SANTA YNEZ R NR SANTA YNEZ CA,34.589155,-119.988753,Non-ref
260,11126500,SANTA AGUEDA C NR SANTA YNEZ CA,34.594988,-120.029588,Non-ref
261,11128250,ALAMO PINTADO C NR SOLVANG CA,34.61832,-120.120703,Non-ref
262,11128500,SANTA YNEZ R A SOLVANG CA,34.584987,-120.144593,Non-ref
263,11129800,ZACA C NR BUELLTON CA,34.648596,-120.184317,Non-ref
264,11130500,SANTA YNEZ R NR BUELLTON CA,34.610541,-120.249042,Non-ref
265,11131500,SANTA YNEZ R A COOPERS REEF NR LOMPOC CA,34.613318,-120.35738,Non-ref
266,11132500,SALSIPUEDES C NR LOMPOC CA,34.588596,-120.408494,Non-ref
267,11133000,SANTA YNEZ R A NARROWS NR LOMPOC CA,34.637761,-120.426551,Non-ref
268,11134000,SANTA YNEZ R A H ST NR LOMPOC CA,34.668316,-120.457941,Non-ref
269,11134500,SANTA YNEZ R A V STREET NR LOMPOC CA,34.668316,-120.47572,Non-ref
270,11134800,MIGUELITO C A LOMPOC CA,34.63165,-120.464886,Non-ref
271,11135800,SAN ANTONIO C A LOS ALAMOS CA,34.743315,-120.270989,Non-ref
272,11136100,SAN ANTONIO C NR CASMALIA CA,34.782203,-120.530723,Non-ref
273,11136800,CUYAMA R BL BUCKHORN CYN NR SANTA MARIA CA,35.021921,-120.228487,Non-ref
274,11137900,HUASNA R NR ARROYO GRANDE CA,35.077754,-120.371827,Non-ref
275,11138100,CUYAMA R BL TWITCHELL DAM CA,34.944423,-120.292657,Non-ref
276,11138500,SISQUOC R NR SISQUOC CA,34.839703,-120.168206,Ref
277,11139000,LA BREA C NR SISQUOC CA,34.852758,-120.199597,Ref
278,11139500,TEPUSQUET C NR SISQUOC CA,34.87248,-120.244599,Ref
279,11140000,SISQUOC R NR GAREY,34.893868,-120.306546,Non-ref
280,11140585,SANTA MARIA R A SUEY CROSSING NR SANTA MARIA CA,34.96831,-120.40405,Non-ref
281,11141000,SANTA MARIA R A GUADALUPE,34.976366,-120.571836,Non-ref
282,11141050,ORCUTT C NR ORCUTT CA,34.88359,-120.494888,Non-ref
283,11141150,ARROYO GRANDE AB PHOENIX C NR ARROYO GRANDE CA,35.188586,-120.435162,Ref
284,11141280,LOPEZ C NR ARROYO GRANDE CA,35.23553,-120.472386,Ref
285,11141500,ARROYO GRANDE AT ARROYO GRANDE CA,35.12442,-120.569058,Non-ref
286,11142500,ARROYO DE LA CRUZ NR SAN SIMEON CA,35.71719,-121.284926,Ref
287,11143000,BIG SUR R NR BIG SUR CA,36.245796,-121.773287,Ref
288,11143200,CARMEL R A ROBLES DEL RIO CA,36.474406,-121.728836,Non-ref
289,11143250,CARMEL R NR CARMEL CA,36.539128,-121.880508,Non-ref
290,11143500,SALINAS R NR POZO CA,35.298585,-120.403771,Ref
291,11144000,TORO C NR POZO CA,35.323862,-120.421272,Non-ref
292,11145000,SALINAS R AB PILITAS C NR SANTA MARGARITA CA,35.348863,-120.512664,Non-ref
293,11147000,JACK C NR TEMPLETON CA,35.566638,-120.803788,Non-ref
294,11147070,SANTA RITA C NR TEMPLETON CA,35.523861,-120.766008,Non-ref
295,11147500,SALINAS R A PASO ROBLES CA,35.628581,-120.684337,Non-ref
296,11148500,ESTRELLA R NR ESTRELLA CA,35.717191,-120.640168,Non-ref
297,11148900,NACIMIENTO R BL SAPAQUE C NR BRYSON CA,35.788579,-121.093805,Ref
298,11149400,NACIMIENTO R BL NACIMIENTO DAM NR BRADLEY CA,35.761357,-120.855458,Non-ref
299,11149900,SAN ANTONIO R NR LOCKWOOD CA,35.896634,-121.088249,Non-ref
300,11150500,SALINAS R NR BRADLEY CA,35.930243,-120.868791,Non-ref
301,11151300,SAN LORENZO C BL BITTERWATER C NR KING CITY CA,36.268021,-121.066303,Ref
302,11151700,SALINAS R A SOLEDAD CA,36.411076,-121.319374,Non-ref
303,11151870,ARROYO SECO NR GREENFIELD CA,36.237462,-121.481603,Ref
304,11152000,ARROYO SECO NR SOLEDAD CA,36.280521,-121.322706,Non-ref
305,11152050,ARROYO SECO BL RELIZ C NR SOLEDAD CA,36.399687,-121.324096,Non-ref
306,11152300,SALINAS R NR CHUALAR CA,36.555517,-121.549663,Non-ref
307,11152500,SALINAS R NR SPRECKELS CA,36.631071,-121.672446,Non-ref
308,11152540,EL TORO C NR SPRECKELS CA,36.583294,-121.714947,Non-ref
309,11152600,GABILAN C NR SALINAS CA,36.755792,-121.610501,Non-ref
310,11152900,CEDAR C NR BELL STATION CA,37.049945,-121.327431,Ref
311,11153000,PACHECO C NR DUNNEVILLE CA,36.979948,-121.380211,Non-ref
312,11153470,LLAGAS C AB CHESBRO RES NR MORGAN HILL CA,37.14828,-121.76828,Ref
313,11153500,LLAGAS C NR MORGAN HILL CA,37.114391,-121.690503,Non-ref
314,11153650,LLAGAS C NR GILROY,36.987449,-121.527162,Non-ref
315,11153700,PAJARO R NR GILROY CA,36.948284,-121.511884,Non-ref
316,11153900,UVAS C AB UVAS RES NR MORGAN HILL CA,37.092725,-121.718282,Ref
317,11154100,BODFISH C NR GILROY CA,37.004116,-121.667169,Ref
318,11154200,UVAS C NR GILROY CA,36.992171,-121.573553,Non-ref
319,11154700,CLEAR C NR IDRIA CA,36.364683,-120.756287,Ref
320,11156500,SAN BENITO R NR WILLOW CREEK SCHOOL CA,36.609406,-121.20298,Non-ref
321,11157500,TRES PINOS C NR TRES PINOS CA,36.764681,-121.296875,Non-ref
322,11158500,SAN BENITO R NR HOLLISTER CA,36.788013,-121.370768,Non-ref
323,11158600,SAN BENITO R A HWY 156 NR HOLLISTER CA,36.851899,-121.429937,Non-ref
324,11159000,PAJARO R A CHITTENDEN CA,36.900231,-121.597721,Non-ref
325,11159200,CORRALITOS C A FREEDOM CA,36.939397,-121.770506,Non-ref
326,11160000,SOQUEL C A SOQUEL CA,36.991339,-121.955793,Non-ref
327,11160020,SAN LORENZO R NR BOULDER C CA,37.206611,-122.144964,Ref
328,11160300,ZAYANTE C A ZAYANTE CA,37.086059,-122.046907,Ref
329,11160500,SAN LORENZO R A BIG TREES CA,37.044393,-122.072464,Non-ref
330,11161000,SAN LORENZO R A SANTA CRUZ CA,36.990783,-122.031908,Non-ref
331,11161300,CARBONERA C A SCOTTS VALLEY CA,37.050504,-122.013573,Non-ref
332,11162500,PESCADERO C NR PESCADERO CA,37.260777,-122.32886,Ref
333,11162570,SAN GREGORIO C A SAN GREGORIO CA,37.325776,-122.38664,Ref
334,11162620,PILARCITOS C BL STONE DAM NR HILLSBOROUGH CA,37.524661,-122.399418,Non-ref
335,11162630,PILARCITOS C A HALF MOON BAY CA,37.466607,-122.434142,Non-ref
336,11162720,COLMA C A SOUTH SAN FRANCISCO CA,37.653823,-122.426361,Non-ref
337,11162753,SAN MATEO C BL LO CRYSTAL SP RES NR SAN MATEO CA,37.52944,-122.35833,Non-ref
338,11162800,REDWOOD C A REDWOOD CITY CA,37.449383,-122.233577,Non-ref
339,11164500,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA,37.423273,-122.18941,Non-ref
340,11166000,MATADERO C A PALO ALTO CA,37.421606,-122.135519,Non-ref
341,11167800,GUADALUPE R AB ALMADEN EXPRESSWAY A SAN JOSE CA,37.28078,-121.87968,Non-ref
342,11169000,GUADALUPE R A SAN JOSE CA,37.334386,-121.8994,Non-ref
343,11169025,GUADALUPE R ABV HWY 101 A SAN JOSE CA,37.37383,-121.933013,Non-ref
344,11169500,SARATOGA C A SARATOGA CA,37.254388,-122.039404,Non-ref
345,11169800,COYOTE C NR GILROY CA,37.077723,-121.494383,Ref
346,11170000,COYOTE C NR MADRONE CA,37.168278,-121.649668,Non-ref
347,11172100,UP PENITENCIA C A SAN JOSE CA,37.395217,-121.828287,Non-ref
348,11172175,COYOTE C AB HWY 237 A MILPITAS CA,37.422162,-121.927458,Non-ref
349,11172945,ALAMEDA C AB DIV DAM NR SUNOL CA,37.497436,-121.773564,Ref
350,11173200,ARROYO HONDO NR SAN JOSE CA,37.461603,-121.769397,Ref
351,11173500,CALAVERAS C NR SUNOL CA,37.497714,-121.817733,Non-ref
352,11173510,ALAMEDA C BL CALAVERAS C NR SUNOL CA,37.503547,-121.824677,Non-ref
353,11173575,ALAMEDA C BL WELCH C NR SUNOL CA,37.540491,-121.856345,Non-ref
354,11174000,SAN ANTONIO C NR SUNOL CA,37.577434,-121.857734,Non-ref
355,11176000,ARROYO MOCHO NR LIVERMORE CA,37.62632,-121.704673,Non-ref
356,11176200,ARROYO MOCHO NR PLEASANTON CA,37.690486,-121.87329,Non-ref
357,11176400,ARROYO VALLE BL LANG CN NR LIVERMORE CA,37.561322,-121.683839,Ref
358,11176500,ARROYO VALLE NR LIVERMORE CA,37.623265,-121.758842,Non-ref
359,11176600,ARROYO VALLE A PLEASANTON CA,37.667153,-121.882735,Non-ref
360,11176900,ARROYO DE LA LAGUNA A VERONA CA,37.626599,-121.883013,Non-ref
361,11177000,ARROYO DE LA LAGUNA NR PLEASANTON CA,37.615211,-121.881624,Non-ref
362,11179000,ALAMEDA C NR NILES CA,37.587157,-121.960793,Non-ref
363,11180500,DRY C A UNION CITY CA,37.606045,-122.02385,Ref
364,11180700,ALAMEDA C FLOOD CHANNEL A UNION CITY CA,37.585768,-122.048296,Non-ref
365,11180825,SAN LORENZO C AB DON CASTRO RES NR CASTRO V CA,37.695208,-122.044962,Non-ref
366,11180900,CROW C NR HAYWARD CA,37.70493,-122.043851,Non-ref
367,11180960,CULL C AB CULL C RES NR CASTRO VALLEY CA,37.717707,-122.054407,Ref
368,11181000,SAN LORENZO C A HAYWARD CA,37.685486,-122.064407,Non-ref
369,11181008,CASTRO VALLEY C A HAYWARD CA,37.679931,-122.080519,Non-ref
370,11181040,SAN LORENZO C A SAN LORENZO CA,37.684098,-122.139965,Non-ref
371,11181390,WILDCAT C A VALE RD AT RICHMOND CA,37.953257,-122.338304,Non-ref
